termo,título,link,valor (%),período
Eficiência Energética,major,https://trends.google.com/trends/explore?q=/g/11spgvg3n4&date=today+12-m&geo=BR,4,1 ano
Eficiência Energética,industrial sector,https://trends.google.com/trends/explore?q=/g/121ymzyz&date=today+12-m&geo=BR,4,1 ano
Eficiência Energética,Electricity,https://trends.google.com/trends/explore?q=/m/02lts&date=today+12-m&geo=BR,4,1 ano
Eficiência Energética,Product,https://trends.google.com/trends/explore?q=/m/01jwgf&date=today+12-m&geo=BR,4,1 ano
Eficiência Energética,Analysis,https://trends.google.com/trends/explore?q=/g/121vr6rm&date=today+12-m&geo=BR,4,1 ano
Eficiência Energética,Management,https://trends.google.com/trends/explore?q=/g/121c4vmj&date=today+12-m&geo=BR,4,1 ano
Eficiência Energética,Solar energy,https://trends.google.com/trends/explore?q=/m/06xbd&date=today+12-m&geo=BR,4,1 ano
Energia Elétrica,Energy,https://trends.google.com/trends/explore?q=/m/02mm_&date=today+12-m&geo=BR,100,1 ano
Energia Elétrica,Electrical energy,https://trends.google.com/trends/explore?q=/m/0n5wc2k&date=today+12-m&geo=BR,94,1 ano
Energia Elétrica,Electricity,https://trends.google.com/trends/explore?q=/m/02lts&date=today+12-m&geo=BR,70,1 ano
Energia Elétrica,Consumption,https://trends.google.com/trends/explore?q=/m/02r5ml&date=today+12-m&geo=BR,9,1 ano
Energia Elétrica,Power station,https://trends.google.com/trends/explore?q=/m/01f2sl&date=today+12-m&geo=BR,6,1 ano
Energia Elétrica,Electric,https://trends.google.com/trends/explore?q=/m/01vfy&date=today+12-m&geo=BR,5,1 ano
Energia Elétrica,Solar energy,https://trends.google.com/trends/explore?q=/m/06xbd&date=today+12-m&geo=BR,5,1 ano
Energia Elétrica,Electricity generation,https://trends.google.com/trends/explore?q=/m/02lrb&date=today+12-m&geo=BR,4,1 ano
Energia Elétrica,energy source,https://trends.google.com/trends/explore?q=/g/120ldvpl&date=today+12-m&geo=BR,4,1 ano
Energia Elétrica,System,https://trends.google.com/trends/explore?q=/m/0bj6r&date=today+12-m&geo=BR,4,1 ano
Energia Elétrica,Voltage,https://trends.google.com/trends/explore?q=/m/07_27&date=today+12-m&geo=BR,4,1 ano
Energia Elétrica,Power,https://trends.google.com/trends/explore?q=/m/061ln&date=today+12-m&geo=BR,4,1 ano
Energia Elétrica,Production,https://trends.google.com/trends/explore?q=/m/0806jls&date=today+12-m&geo=BR,4,1 ano
Energia Elétrica,Light,https://trends.google.com/trends/explore?q=/m/04k84&date=today+12-m&geo=BR,3,1 ano
Energia Elétrica,hydroelectric power station,https://trends.google.com/trends/explore?q=/g/11b6th_qc5&date=today+12-m&geo=BR,3,1 ano
Energia Elétrica,Renewable energy,https://trends.google.com/trends/explore?q=/m/06fhs&date=today+12-m&geo=BR,3,1 ano
Energia Elétrica,major,https://trends.google.com/trends/explore?q=/g/11spgvg3n4&date=today+12-m&geo=BR,3,1 ano
Energia Elétrica,Electric generator,https://trends.google.com/trends/explore?q=/m/0l4dz&date=today+12-m&geo=BR,3,1 ano
Energia Elétrica,Electric charge,https://trends.google.com/trends/explore?q=/m/02nxz&date=today+12-m&geo=BR,3,1 ano
Energia Elétrica,process,https://trends.google.com/trends/explore?q=/g/122q4xxl&date=today+12-m&geo=BR,3,1 ano
Energia Elétrica,Equipment,https://trends.google.com/trends/explore?q=/g/1232v3zw&date=today+12-m&geo=BR,3,1 ano
Energia Elétrica,being,https://trends.google.com/trends/explore?q=/g/121m7xnm&date=today+12-m&geo=BR,2,1 ano
Energia Elétrica,Wind power,https://trends.google.com/trends/explore?q=/m/01phdl&date=today+12-m&geo=BR,2,1 ano
Energia Elétrica,Hydroelectricity,https://trends.google.com/trends/explore?q=/m/021m_w&date=today+12-m&geo=BR,2,1 ano
Energia Eólica,Wind power,https://trends.google.com/trends/explore?q=/m/01phdl&date=today+12-m&geo=BR,100,1 ano
Energia Eólica,Energy,https://trends.google.com/trends/explore?q=/m/02mm_&date=today+12-m&geo=BR,95,1 ano
Energia Eólica,Solar energy,https://trends.google.com/trends/explore?q=/m/06xbd&date=today+12-m&geo=BR,21,1 ano
Energia Eólica,Renewable energy,https://trends.google.com/trends/explore?q=/m/06fhs&date=today+12-m&geo=BR,12,1 ano
Energia Eólica,energy source,https://trends.google.com/trends/explore?q=/g/120ldvpl&date=today+12-m&geo=BR,11,1 ano
Energia Eólica,hydroelectric power station,https://trends.google.com/trends/explore?q=/g/11b6th_qc5&date=today+12-m&geo=BR,10,1 ano
Energia Eólica,Power station,https://trends.google.com/trends/explore?q=/m/01f2sl&date=today+12-m&geo=BR,8,1 ano
Energia Eólica,Electrical energy,https://trends.google.com/trends/explore?q=/m/0n5wc2k&date=today+12-m&geo=BR,8,1 ano
Energia Eólica,Nuclear power,https://trends.google.com/trends/explore?q=/m/05k97&date=today+12-m&geo=BR,8,1 ano
Energia Eólica,Hydropower,https://trends.google.com/trends/explore?q=/m/03nfl&date=today+12-m&geo=BR,7,1 ano
Energia Eólica,Hydroelectricity,https://trends.google.com/trends/explore?q=/m/021m_w&date=today+12-m&geo=BR,7,1 ano
Energia Eólica,Biomass,https://trends.google.com/trends/explore?q=/m/0ds61y&date=today+12-m&geo=BR,7,1 ano
Energia Eólica,Electricity,https://trends.google.com/trends/explore?q=/m/02lts&date=today+12-m&geo=BR,7,1 ano
Energia Eólica,Production,https://trends.google.com/trends/explore?q=/m/0806jls&date=today+12-m&geo=BR,6,1 ano
Energia Eólica,Wind,https://trends.google.com/trends/explore?q=/m/03m9d0z&date=today+12-m&geo=BR,6,1 ano
Energia Eólica,Sun,https://trends.google.com/trends/explore?q=/m/06m_p&date=today+12-m&geo=BR,5,1 ano
Energia Eólica,Gas,https://trends.google.com/trends/explore?q=/m/037xy&date=today+12-m&geo=BR,5,1 ano
Energia Eólica,wind power in Brazil,https://trends.google.com/trends/explore?q=/g/11bwh5jbm0&date=today+12-m&geo=BR,5,1 ano
Energia Eólica,Geothermal energy,https://trends.google.com/trends/explore?q=/m/0sz0n&date=today+12-m&geo=BR,5,1 ano
Energia Eólica,Petroleum,https://trends.google.com/trends/explore?q=/m/05r_j&date=today+12-m&geo=BR,4,1 ano
Energia Eólica,Natural environment,https://trends.google.com/trends/explore?q=/m/02py09&date=today+12-m&geo=BR,4,1 ano
Energia Eólica,Wind turbine,https://trends.google.com/trends/explore?q=/m/01d2_z&date=today+12-m&geo=BR,4,1 ano
Energia Eólica,Wind farm,https://trends.google.com/trends/explore?q=/m/03j5zb&date=today+12-m&geo=BR,4,1 ano
Energia Eólica,Country,https://trends.google.com/trends/explore?q=/m/01lff&date=today+12-m&geo=BR,4,1 ano
Energia Solar,Energy,https://trends.google.com/trends/explore?q=/m/02mm_&date=today+12-m&geo=BR,100,1 ano
Energia Solar,Solar energy,https://trends.google.com/trends/explore?q=/m/06xbd&date=today+12-m&geo=BR,91,1 ano
Energia Solar,Sun,https://trends.google.com/trends/explore?q=/m/06m_p&date=today+12-m&geo=BR,11,1 ano
Energia Solar,Solar power,https://trends.google.com/trends/explore?q=/m/05t0ydv&date=today+12-m&geo=BR,11,1 ano
Energia Solar,Solar panel,https://trends.google.com/trends/explore?q=/g/120hz4cg&date=today+12-m&geo=BR,6,1 ano
Energia Solar,Photovoltaics,https://trends.google.com/trends/explore?q=/m/02_spr&date=today+12-m&geo=BR,5,1 ano
Energia Solar,Wind power,https://trends.google.com/trends/explore?q=/m/01phdl&date=today+12-m&geo=BR,4,1 ano
Energia Solar,Renewable energy,https://trends.google.com/trends/explore?q=/m/06fhs&date=today+12-m&geo=BR,3,1 ano
Energia Solar,Power station,https://trends.google.com/trends/explore?q=/m/01f2sl&date=today+12-m&geo=BR,3,1 ano
Energia Solar,Electricity,https://trends.google.com/trends/explore?q=/m/02lts&date=today+12-m&geo=BR,3,1 ano
Energia Solar,Power inverter,https://trends.google.com/trends/explore?q=/m/01gkzr&date=today+12-m&geo=BR,3,1 ano
Energia Solar,Electrical energy,https://trends.google.com/trends/explore?q=/m/0n5wc2k&date=today+12-m&geo=BR,2,1 ano
Energia Solar,Light,https://trends.google.com/trends/explore?q=/m/04k84&date=today+12-m&geo=BR,2,1 ano
Energia Solar,Electric battery,https://trends.google.com/trends/explore?q=/m/01c0z&date=today+12-m&geo=BR,2,1 ano
Energia Solar,Fee,https://trends.google.com/trends/explore?q=/m/03fk6m&date=today+12-m&geo=BR,2,1 ano
Energia Solar,energy source,https://trends.google.com/trends/explore?q=/g/120ldvpl&date=today+12-m&geo=BR,2,1 ano
Energia Solar,Kilowatt hour,https://trends.google.com/trends/explore?q=/m/018lqb&date=today+12-m&geo=BR,2,1 ano
Energia Solar,Electric generator,https://trends.google.com/trends/explore?q=/m/0l4dz&date=today+12-m&geo=BR,2,1 ano
Energia Solar,hydroelectric power station,https://trends.google.com/trends/explore?q=/g/11b6th_qc5&date=today+12-m&geo=BR,2,1 ano
Energia Solar,Funding,https://trends.google.com/trends/explore?q=/m/03dd26&date=today+12-m&geo=BR,1,1 ano
Energia Solar,Nuclear power,https://trends.google.com/trends/explore?q=/m/05k97&date=today+12-m&geo=BR,1,1 ano
Energia Solar,Stand-alone power system,https://trends.google.com/trends/explore?q=/m/026gnpw&date=today+12-m&geo=BR,1,1 ano
Energia Solar,Production,https://trends.google.com/trends/explore?q=/m/0806jls&date=today+12-m&geo=BR,1,1 ano
Energia Solar,Biomass,https://trends.google.com/trends/explore?q=/m/0ds61y&date=today+12-m&geo=BR,1,1 ano
Energia Solar,Kilowatt,https://trends.google.com/trends/explore?q=/g/120ylmh4&date=today+12-m&geo=BR,1,1 ano
